retweet_count,favorite_count,user_followers_count,date
950,3026,846753,2020-04-28
4322,12829,1461163,2020-03-24
7,26,18074,2020-05-24
204,1141,1149532,2020-05-20
53,294,76824,2020-05-25
1,0,7322,2020-05-10
55,241,118636,2020-05-03
1521,6164,451300,2020-05-21
231,749,29631,2020-05-06
16,91,27244,2020-04-24
36,84,24740,2020-05-21
80,522,76824,2020-05-25
306,627,273,2020-05-16
57,193,17412,2020-04-21
664,1015,453328,2020-05-03
11,25,21778,2020-04-09
99,340,5899,2020-05-25
114,535,42904,2020-04-08
341,1616,1149532,2020-05-20
3992,8397,26793,2020-05-16
30,28,289520,2020-05-07
336,859,389818,2020-03-26
62,445,43838,2020-05-24
1309,1768,6610,2020-03-20
4157,17608,146508,2020-05-25
8843,64140,2555046,2020-05-20
253,445,823380,2020-05-18
47,184,118636,2020-04-29
507,2306,1461163,2020-05-19
49,278,797,2020-05-24
8244,32513,1749780,2020-05-16
6,7,27539,2020-04-21
2587,6405,590666,2020-05-13
62,392,71036,2020-05-16
126,165,3119074,2020-05-12
516,1223,50292,2020-05-12
3,239,1749780,2020-05-16
4114,20985,617516,2020-05-14
45,201,2190107,2020-04-26
25,105,2222,2020-05-18
15,31,270183,2020-05-19
101,214,443982,2020-04-15
41,238,249997,2020-05-07
284,296,650223,2020-05-21
81,303,249997,2020-05-07
3965,8110,34224,2020-05-16
1,3,65475,2020-05-21
46,219,8592,2020-05-13
29,57,16968,2020-05-22
1299,11005,1434398,2020-05-25
327,1823,165002,2020-03-31
203,1179,5882084,2020-03-15
0,3,554,2020-05-13
177,220,33879,2020-05-12
0,1,1525,2020-05-11
4,6,137810,2020-03-15
53,370,5678721,2020-05-08
25,114,1805023,2020-04-28
371,2799,139368,2020-04-26
41,55,2917,2020-05-24
6,6,1081,2020-05-10
25,34,77567,2020-05-11
71,110,21478,2020-05-21
578,1835,112875,2020-05-20
57,266,32485,2020-05-22
16,69,50050,2020-05-21
52,472,470155,2020-05-20
34,440,1434398,2020-03-23
103,178,16968,2020-03-26
2448,4903,112875,2020-04-19
186,315,137810,2020-03-27
2091,8639,302744,2020-05-21
21580,17117,445,2020-04-29
5666,25216,3651668,2020-05-18
363,802,87873,2020-05-17
3,2,93,2020-05-20
40,248,165002,2020-03-22
7,16,113448,2020-05-14
8,50,5899,2020-05-25
40,76,9710,2020-05-24
4,6,6645,2020-05-21
48,103,44558,2020-05-25
181,1628,651015,2020-05-25
1,2,16606,2020-04-26
1,0,199,2020-05-16
283,483,1461163,2020-03-06
1440,5885,89723,2020-05-08
1,5,1307,2020-05-09
493,1073,214445,2020-04-08
7860,10145,1493279,2020-03-15
212,2521,478919,2020-05-08
2,9,1834,2020-05-12
2808,6197,235725,2020-05-02
2188,4020,58925,2020-03-24
60,91,2858,2020-05-12
5,11,1572,2020-05-12
3964,36438,824221,2020-04-30
0,1,128,2020-05-02
31,22,3650320,2020-04-28
3248,15458,143835,2020-03-05
1,0,152,2020-05-06
417,690,48855,2020-04-01
9417,23346,356380,2020-05-11
13562,37112,436460,2020-04-20
246,1797,419309,2020-05-01
3781,11244,96026,2020-05-08
3242,1348,1819,2020-03-22
128,218,2650,2020-05-12
