id,conversation_id,p,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389582630295719938,1389582630295719938,2021-05-04 10:08:10 Eastern Daylight Time,2021-05-04,10:08:10,-0400,19091173,scrowder,Steven Crowder,,Most people are cowards.,en,[],[],[],1059,885,13008,[],[],https://twitter.com/scrowder/status/1389582630295719938,False,,0,,,,,,,,[],,,,
1389575227013668865,1389575227013668865,2021-05-04 09:38:45 Eastern Daylight Time,2021-05-04,09:38:45,-0400,19091173,scrowder,Steven Crowder,,Not all teachers deserve appreciation.  https://t.co/I4ZODdF1Xo,en,[],[],[],67,261,1704,[],[],https://twitter.com/scrowder/status/1389575227013668865,False,,1,https://pbs.twimg.com/amplify_video_thumb/1389233070616813570/img/WY1bH1-UE6xgLi-P.jpg,,,,,,,[],,,,
1389517139384709121,1389517139384709121,2021-05-04 05:47:56 Eastern Daylight Time,2021-05-04,05:47:56,-0400,19091173,scrowder,Steven Crowder,,Heartbreaking. Absolutely heartbreaking.,en,[],[],[],47,122,2015,[],[],https://twitter.com/scrowder/status/1389517139384709121,False,https://twitter.com/nytimes/status/1389469445999972354,0,,,,,,,,[],,,,
1389337354259865612,1389337354259865612,2021-05-03 17:53:32 Eastern Daylight Time,2021-05-03,17:53:32,-0400,19091173,scrowder,Steven Crowder,,"Maybe, as it relates to a free people... the CoVid positivity rate is not the only number that matters.",en,[],[],[],75,149,1881,[],[],https://twitter.com/scrowder/status/1389337354259865612,False,https://twitter.com/staceyh1970/status/1389308372835467264,0,,,,,,,,[],,,,
1389215785235718145,1389215785235718145,2021-05-03 09:50:28 Eastern Daylight Time,2021-05-03,09:50:28,-0400,19091173,scrowder,Steven Crowder,,POLL: Who do you find to be the most insufferable?,en,[],[],[],341,78,599,[],[],https://twitter.com/scrowder/status/1389215785235718145,False,,0,,,,,,,,[],,,,
1389182065384595461,1389182065384595461,2021-05-03 07:36:28 Eastern Daylight Time,2021-05-03,07:36:28,-0400,19091173,scrowder,Steven Crowder,,Bastards curling in the squat rack. I had two choices.  1) murder.  2) cardio.  The end.,en,[],[],[],223,146,4518,[],[],https://twitter.com/scrowder/status/1389182065384595461,False,,0,,,,,,,,[],,,,
1389171738844418053,1389171738844418053,2021-05-03 06:55:26 Eastern Daylight Time,2021-05-03,06:55:26,-0400,19091173,scrowder,Steven Crowder,,Early morning squats with a bunk knee.  PRO TIP: always go to the bathroom before squat day. I’ve had nightmares about that.  See you at 10AM ET!,en,[],[],[],60,44,1277,[],[],https://twitter.com/scrowder/status/1389171738844418053,False,,0,,,,,,,,[],,,,
1388144471901147140,1388144471901147140,2021-04-30 10:53:27 Eastern Daylight Time,2021-04-30,10:53:27,-0400,19091173,scrowder,Steven Crowder,,Oh so now a logical fallacy = “dismantled?” Anyone who denies that males have a physical advantage over females is a science denier. Period.,en,[],[],[],194,438,3416,[],[],https://twitter.com/scrowder/status/1388144471901147140,False,https://twitter.com/MeidasTouch/status/1388142612545036300,0,,,,,,,,[],,,,
1387762055558705156,1387762055558705156,2021-04-29 09:33:52 Eastern Daylight Time,2021-04-29,09:33:52,-0400,19091173,scrowder,Steven Crowder,,Get vaccinated or don’t. I don’t give a shit.,en,[],[],[],652,2930,29292,[],[],https://twitter.com/scrowder/status/1387762055558705156,False,,0,,,,,,,,[],,,,
1387589092150550529,1387589092150550529,2021-04-28 22:06:34 Eastern Daylight Time,2021-04-28,22:06:34,-0400,19091173,scrowder,Steven Crowder,,Immigration is not essential to America's success. But our constitutional principles ARE!,en,[],[],[],201,670,6627,[],[],https://twitter.com/scrowder/status/1387589092150550529,False,,0,,,,,,,,[],,,,
1387583814428467200,1387583814428467200,2021-04-28 21:45:36 Eastern Daylight Time,2021-04-28,21:45:36,-0400,19091173,scrowder,Steven Crowder,,This #JointSession is a bully holding you upside down and shaking out all your change.,en,[],[],[],92,262,2237,['jointsession'],[],https://twitter.com/scrowder/status/1387583814428467200,False,,0,,,,,,,,[],,,,
